Airline
Aeroflot
Air Austral
Air Baltic
Air India
Air India Express
Air Mauritius
Air New Zealand
Air Seychelles
AirAsia
AirAsia Indonesia
AirAsia X
Airconnect
Bangkok Airways
British Airways
Brussels Airlines
Cathay Pacific
China Eastern
China Southern
EgyptAir
Emirates
Ethiopian Airlines
Etihad Airways
Finnair
Garuda Indonesia
Go Air
Gulf Air
IndiGo
Jetstar Airways
Jetstar Asia
Kenya Airways
Kuwait Airways
Lufthansa
Malaysia Airlines
Malindo Air
Norwegian
Not Available
Oman Air
Philippine Airlines
Qantas Airways
Qatar Airways
Saudia
Scoot
Sichuan Airlines
Silkair
Singapore Airlines
South African Airways
Spicejet
Srilankan Airlines
Swiss
Thai AirAsia
Thai Airways
Thai Vietjet Air
Turkish Airlines
Uzbekistan Airways
Virgin Atlantic
Vistara
